device,frame_index,image_name,latency_ms,detection_count
gpu,0,000000.png,3.266370999881474,12
gpu,1,000001.png,3.229562999877089,6
gpu,2,000002.png,3.260433999912493,7
gpu,3,000003.png,3.209378000065044,8
gpu,4,000004.png,3.132201999960671,11
gpu,5,000005.png,3.170196999917607,8
gpu,6,000006.png,3.8552910000362317,9
gpu,7,000007.png,3.1511990000581136,6
gpu,8,000008.png,3.1903809999676014,10
gpu,9,000009.png,3.1452610000997083,10
gpu,10,000010.png,3.1880060000730737,10
gpu,11,000011.png,3.1975049998891336,8
gpu,12,000012.png,3.1880059998457,8
gpu,13,000013.png,3.1998789997942367,6
gpu,14,000014.png,3.1891930000256252,6
gpu,15,000015.png,3.1808819999241678,10
gpu,16,000016.png,3.182069000104093,8
gpu,17,000017.png,3.1666339998537296,9
gpu,18,000018.png,3.2058160002179648,5
gpu,19,000019.png,3.1868189998931484,6
gpu,20,000020.png,3.2153150000340247,7
gpu,21,000021.png,3.217688999939128,9
gpu,22,000022.png,3.1963169999471575,5
gpu,23,000023.png,3.2153150000340247,6
gpu,24,000024.png,3.208190999885119,6
gpu,25,000025.png,3.2010669999635866,7
gpu,26,000026.png,3.239061999920523,8
gpu,27,000027.png,3.21056600000702,5
gpu,28,000028.png,3.22600100003001,5
gpu,29,000029.png,3.229562999877089,7
gpu,30,000030.png,3.202253999916138,5
gpu,31,000031.png,3.1951300002219796,5
gpu,32,000032.png,3.1975049998891336,5
gpu,33,000033.png,3.1963169999471575,8
gpu,34,000034.png,3.1939430000420543,6
gpu,35,000035.png,3.54777000006834,5
gpu,36,000036.png,3.1571350000376697,7
gpu,37,000037.png,3.177319999849715,6
gpu,38,000038.png,3.1737580000026355,7
gpu,39,000039.png,3.1868189998931484,5
gpu,40,000040.png,3.17850700002964,7
gpu,41,000041.png,3.198692000069059,5
gpu,42,000042.png,3.205815999990591,7
gpu,43,000043.png,3.2473730000219803,8
gpu,44,000044.png,3.199880000011035,5
gpu,45,000045.png,3.223626000135482,7
gpu,46,000046.png,3.22600100003001,10
gpu,47,000047.png,3.218876999881104,7
gpu,48,000048.png,3.2248140000774583,8
gpu,49,000049.png,3.2188770001084777,7
gpu,50,000050.png,3.217688999939128,8
gpu,51,000051.png,3.216502999976001,7
gpu,52,000052.png,3.235499000084019,8
gpu,53,000053.png,3.229563000104463,7
gpu,54,000054.png,3.214126999864675,6
gpu,55,000055.png,3.2153150000340247,5
gpu,56,000056.png,3.217690000155926,4
gpu,57,000057.png,3.226000999802636,5
gpu,58,000058.png,3.221251000013581,6
gpu,59,000059.png,3.230751000046439,6
gpu,60,000060.png,3.229563000104463,3
gpu,61,000061.png,3.209378000065044,4
gpu,62,000062.png,3.2129399999121233,6
gpu,63,000063.png,3.195129999994606,4
gpu,64,000064.png,3.204628999810666,6
gpu,65,000065.png,3.2034419998581143,9
gpu,66,000066.png,3.1891929997982515,6
gpu,67,000067.png,3.1915680001475266,4
gpu,68,000068.png,3.2010669999635866,6
gpu,69,000069.png,3.190379999978177,7
gpu,70,000070.png,3.2010670001909602,7
gpu,71,000071.png,3.218876999881104,5
gpu,72,000072.png,3.2165019999865763,7
gpu,73,000073.png,3.229563000104463,8
gpu,74,000074.png,3.2378739999785466,8
gpu,75,000075.png,3.2070039999325672,8
gpu,76,000076.png,3.221251000013581,8
gpu,77,000077.png,3.2105650000175956,8
gpu,78,000078.png,3.2390620001478965,6
gpu,79,000079.png,3.2200639998336555,7
gpu,80,000080.png,3.2212520000030054,6
gpu,81,000081.png,3.198692000069059,6
gpu,82,000082.png,3.217690000155926,5
gpu,83,000083.png,3.21056600000702,5
gpu,84,000084.png,3.2473730000219803,5
gpu,85,000085.png,3.2105650000175956,9
gpu,86,000086.png,3.2248139998500847,9
gpu,87,000087.png,3.2307500000570144,11
gpu,88,000088.png,3.229563000104463,8
gpu,89,000089.png,3.217688999939128,8
gpu,90,000090.png,3.2260000000405853,10
gpu,91,000091.png,3.2378739999785466,11
gpu,92,000092.png,3.205815999990591,10
gpu,93,000093.png,3.214126999864675,8
gpu,94,000094.png,3.203442000085488,10
gpu,95,000095.png,3.2153150000340247,9
gpu,96,000096.png,3.2165019999865763,9
gpu,97,000097.png,3.1939430000420543,8
gpu,98,000098.png,3.1963169999471575,9
gpu,99,000099.png,3.195129999994606,12
cpu,0,000000.png,9.294491999980892,12
cpu,1,000001.png,9.416787999953158,6
cpu,2,000002.png,9.284993999926883,7
cpu,3,000003.png,9.206628999891109,8
cpu,4,000004.png,9.219690000008995,11
cpu,5,000005.png,9.317050999925414,8
cpu,6,000006.png,9.723120999979074,9
cpu,7,000007.png,9.832356000060827,6
cpu,8,000008.png,9.417975000133083,10
cpu,9,000009.png,9.294492000208265,10
cpu,10,000010.png,9.509400000069945,10
cpu,11,000011.png,9.223251000094024,8
cpu,12,000012.png,9.283805999984907,8
cpu,13,000013.png,9.22800099988308,6
cpu,14,000014.png,9.31942700003674,6
cpu,15,000015.png,9.238686999879064,10
cpu,16,000016.png,9.224439000036,8
cpu,17,000017.png,9.324174999846946,9
cpu,18,000018.png,9.199504999969577,5
cpu,19,000019.png,9.218501999839646,6
cpu,20,000020.png,9.300429000177246,7
cpu,21,000021.png,9.273119999988921,9
cpu,22,000022.png,9.254121999902054,5
cpu,23,000023.png,9.835919000124704,7
cpu,24,000024.png,9.71006000008856,6
cpu,25,000025.png,9.224439000036,7
cpu,26,000026.png,9.236312999973961,8
cpu,27,000027.png,9.610324000050241,5
cpu,28,000028.png,9.334861999832356,5
cpu,29,000029.png,10.0686380001207,7
cpu,30,000030.png,9.338423999906809,5
cpu,31,000031.png,9.277869000015926,5
cpu,32,000032.png,9.885787000030177,5
cpu,33,000033.png,9.661380000125064,8
cpu,34,000034.png,9.337236000192206,6
cpu,35,000035.png,9.303991000024325,5
cpu,36,000036.png,9.368107000000236,7
cpu,37,000037.png,9.312302000125783,6
cpu,38,000038.png,9.321801000169216,7
cpu,39,000039.png,9.432222999976148,5
cpu,40,000040.png,9.378792999996222,7
cpu,41,000041.png,9.325362000026871,5
cpu,42,000042.png,9.358607999956803,7
cpu,43,000043.png,9.308741000040754,8
cpu,44,000044.png,9.296867000102793,5
cpu,45,000045.png,9.30992800022068,8
cpu,46,000046.png,9.37404400019659,10
cpu,47,000047.png,9.251747999996951,7
cpu,48,000048.png,9.281432000079803,8
cpu,49,000049.png,9.390665999944758,7
cpu,50,000050.png,9.368107000000236,8
cpu,51,000051.png,9.934467999983099,7
cpu,52,000052.png,9.416787999953158,8
cpu,53,000053.png,9.3301120000433,7
cpu,54,000054.png,9.362170000031256,6
cpu,55,000055.png,9.38710499985973,5
cpu,56,000056.png,9.352671999977247,4
cpu,57,000057.png,9.277869000015926,5
cpu,58,000058.png,9.286181000106808,6
cpu,59,000059.png,9.239873999831616,6
cpu,60,000060.png,9.394228000019211,3
cpu,61,000061.png,9.295679000160817,4
cpu,62,000062.png,9.288555000011911,6
cpu,63,000063.png,9.256497000023955,4
cpu,64,000064.png,9.242248999953517,6
cpu,65,000065.png,9.345548000055715,9
cpu,66,000066.png,9.250560000054975,6
cpu,67,000067.png,9.322986000142919,4
cpu,68,000068.png,9.308737999845107,6
cpu,69,000069.png,9.301614000150948,7
cpu,70,000070.png,9.263620000183437,7
cpu,71,000071.png,9.31942500005789,5
cpu,72,000072.png,9.440532999860807,7
cpu,73,000073.png,9.96652499998163,8
cpu,74,000074.png,9.508211999900595,8
cpu,75,000075.png,9.478528000045117,8
cpu,76,000076.png,9.308738999834532,8
cpu,77,000077.png,9.41322499988928,8
cpu,78,000078.png,9.429847000092195,6
cpu,79,000079.png,9.326548999979423,7
cpu,80,000080.png,9.339609999869936,6
cpu,81,000081.png,9.365731000116284,6
cpu,82,000082.png,9.286179000127959,5
cpu,83,000083.png,9.29686499989657,5
cpu,84,000084.png,9.447657000009713,5
cpu,85,000085.png,9.44528300010461,9
cpu,86,000086.png,9.353857999940374,9
cpu,87,000087.png,9.99383399994258,11
cpu,88,000088.png,9.718371000190018,8
cpu,89,000089.png,9.300427000198397,8
cpu,90,000090.png,9.320612000010442,10
cpu,91,000091.png,9.346733000029417,11
cpu,92,000092.png,9.366918000068836,10
cpu,93,000093.png,9.345546000076865,8
cpu,94,000094.png,9.776549999969575,10
cpu,95,000095.png,9.866787999953885,9
cpu,96,000096.png,9.5129609999276,9
cpu,97,000097.png,9.366918000068836,8
cpu,98,000098.png,9.284991999948033,9
cpu,99,000099.png,9.47140399989621,12
