sequence,track_id,class_name,frames,first_frame,last_frame,mean_confidence,min_confidence,mean_area,max_center_jump_per_frame_px,mean_low_confidence_risk,mean_small_box_risk,mean_border_risk,mean_motion_jump_risk,mean_short_track_risk,mean_risk_score,max_risk_score,risk_rank,risk_level,id_switch_events,pred_detections,unmatched_detections,gap_count,has_id_switch,is_short_track,is_fragmented,unmatched_detection_rate
1,1087,car,1,324,324,0.358816534280777,0.358816534280777,5491.702662896365,0.0,0.641183465719223,0.9519417082146344,1.0,0.0,1.0,0.6506842080727326,0.6506842080727326,1,high,0,1,1,0,False,True,True,1.0
1,83,car,1,24,24,0.4054028391838074,0.4054028391838074,5021.106840610504,0.0,0.5945971608161926,0.9562335261768458,1.0,0.0,1.0,0.6398959954394173,0.6398959954394173,2,medium,0,1,1,0,False,True,True,1.0
1,565,car,1,167,167,0.437483549118042,0.437483549118042,2069.6458942862246,0.0,0.562516450881958,0.9831507500541652,1.0,0.0,1.0,0.6372592627313226,0.6372592627313226,3,medium,0,1,1,0,False,True,True,1.0
1,1258,car,1,374,374,0.5565695762634277,0.5565695762634277,3603.856109523911,0.0,0.4434304237365722,0.9691588048482312,1.0,0.0,1.0,0.6046893669037894,0.6046893669037894,4,medium,0,1,1,0,False,True,True,1.0
1,1162,car,1,348,348,0.6108458638191223,0.6108458638191223,3542.2899515843,0.0,0.3891541361808777,0.9697202861236622,1.0,0.0,1.0,0.5912325912699519,0.5912325912699519,5,medium,0,1,1,0,False,True,True,1.0
1,586,car,1,184,184,0.6918932795524597,0.6918932795524597,1789.3080115467296,0.0,0.3081067204475403,0.9857074220509232,1.0,0.0,1.0,0.5741681645220698,0.5741681645220698,6,medium,0,1,1,0,False,True,True,1.0
1,709,car,1,224,224,0.6960514187812805,0.6960514187812805,2872.165983802407,0.0,0.3039485812187195,0.975831794015646,1.0,0.0,1.0,0.5711535041078091,0.5711535041078091,7,medium,0,1,1,0,False,True,True,1.0
1,66,car,2,20,21,0.571318119764328,0.5117881298065186,2150.804455780657,5.656606680200923,0.428681880235672,0.9824105867218238,1.0,0.0428976305099489,0.5,0.5393769950307701,0.5654066685631574,9,medium,0,2,0,0,False,True,True,0.0
1,642,car,2,216,221,0.5829432308673859,0.5089663863182068,1799.2903011149035,1.455844558265877,0.4170567691326141,0.9856163839081182,1.0,0.0110405912009054,0.5,0.5291476168650036,0.5507047863252211,10,medium,0,2,1,4,False,True,True,0.5
1,146,car,4,43,68,0.5183996111154556,0.4676924347877502,7048.818935164249,8.378591584711044,0.4816003888845444,0.9377408605443138,1.0,0.0452791740605504,0.25,0.5067680628451364,0.5287446994812629,12,medium,0,4,4,22,False,False,True,1.0
1,400,car,3,113,137,0.6410780946413676,0.5830422639846802,3981.681850930908,5.482837838479446,0.3589219053586324,0.9657130468819156,1.0,0.0312493083117748,0.3333333333333333,0.490685412793985,0.5186652959777817,13,medium,0,3,3,22,False,True,True,1.0
1,578,car,1,174,174,0.4294444024562835,0.4294444024562835,1647.5356519455115,0.0,0.5705555975437164,0.9870003811692726,0.0,0.0,1.0,0.4900389756197836,0.4900389756197836,14,medium,0,1,1,0,False,True,True,1.0
1,218,car,6,70,97,0.5749095479647318,0.4870486259460449,2409.1853268646323,7.407045521944852,0.4250904520352681,0.9800541619277752,1.0,0.0493988220864785,0.1666666666666666,0.4896331509159917,0.5250560446470252,15,medium,0,6,1,22,False,False,True,0.16666666666666666
1,28,car,1,14,14,0.441349446773529,0.441349446773529,1060.423022274858,0.0,0.558650553226471,0.9923548284689152,0.0,0.0,1.0,0.4881336040004008,0.4881336040004008,16,medium,0,1,1,0,False,True,True,1.0
1,555,car,2,165,166,0.7772106826305389,0.7373062968254089,5318.989748787136,6.217281563403807,0.222789317369461,0.9535168441422748,1.0,0.0471495831974198,0.5,0.4831880939701751,0.5051720806434514,17,medium,0,2,0,0,False,True,True,0.0
1,513,car,4,159,162,0.6377474814653397,0.5813702940940857,3236.917281982285,7.852794918092777,0.3622525185346603,0.9725052745287872,1.0,0.0405681588840434,0.25,0.4827062242604334,0.5080389301441545,19,medium,0,4,0,0,False,False,False,0.0
1,8,car,2,0,1,0.2977342456579208,0.2686603665351867,598.4401627350599,4.203166564977186,0.7022657543420792,0.996568096502566,0.0,0.0318752737232489,0.5,0.4578488763168452,0.4584146399055969,22,medium,0,2,2,0,False,True,True,1.0
1,268,car,2,83,87,0.7667247354984283,0.6531490683555603,25277.905529486947,10.40657470642311,0.2332752645015716,0.7714922081440481,1.0,0.0789196459765985,0.5,0.4573471692483521,0.4825143376659869,23,medium,1,2,1,3,True,True,True,0.5
1,1156,car,5,346,350,0.5872646510601044,0.4790160655975342,5554.016112240123,28.674990695675003,0.4127353489398956,0.9513734116669053,0.4,0.2763324900324168,0.2,0.4525416420764592,0.5940986021595951,25,medium,0,5,0,0,False,False,False,0.0
1,149,car,2,44,47,0.3104894310235977,0.2876147031784057,597.858061193489,0.6003503666749104,0.6895105689764023,0.996573405248912,0.0,0.0045528370031939,0.5,0.4478305325446814,0.4546145872522712,26,low,0,2,2,2,False,True,True,1.0
1,595,car,2,190,191,0.321456715464592,0.278246134519577,2575.261607110266,3.455688667674664,0.678543284535408,0.9785395518762172,0.0,0.026206675486594,0.5,0.4468954003807439,0.4643792650247759,27,low,0,2,2,0,False,True,True,1.0
1,229,car,2,73,74,0.3223743289709091,0.28026282787323,526.1903369929641,0.7509245304156145,0.6776256710290909,0.9972270124665462,0.0,0.0056947362381366,0.5,0.4452755043101162,0.457257944398444,28,low,0,2,2,0,False,True,True,1.0
1,1003,car,2,301,302,0.3754474818706512,0.3525391817092895,1644.3149039475252,6.910682385827537,0.6245525181293488,0.9870297542819416,0.0,0.0524080807308865,0.5,0.4416461005714471,0.4605262823098107,30,low,1,2,1,0,True,True,True,0.5
1,830,car,8,248,256,0.6358694955706596,0.5334376692771912,9250.898684311192,22.34707170087601,0.3641305044293403,0.9176579678069668,0.625,0.1946689963238469,0.125,0.4357314687496901,0.5106363496914681,32,low,0,8,3,1,False,False,True,0.375
1,1236,car,1,368,368,0.6259498596191406,0.6259498596191406,5195.937125820199,0.0,0.3740501403808594,0.9546390798964756,0.0,0.0,1.0,0.4344403510745099,0.4344403510745099,33,low,0,1,1,0,False,True,True,1.0
1,126,car,2,38,39,0.371421530842781,0.2667247951030731,1392.59572815895,1.9397515504801863,0.6285784691572189,0.9893254246404986,0.0,0.0147103643576371,0.5,0.4336872933068136,0.4636190395405739,35,low,0,2,0,0,False,True,True,0.0
1,433,car,1,134,134,0.656474769115448,0.656474769115448,1900.1413415074323,0.0,0.343525230884552,0.984696625835125,0.0,0.0,1.0,0.4328206328881629,0.4328206328881629,36,low,0,1,0,0,False,True,True,0.0
1,765,car,1,231,231,0.6722553968429565,0.6722553968429565,766.833175599575,0.0,0.3277446031570434,0.9950323579279812,0.0,0.0,1.0,0.4309426223748571,0.4309426223748571,37,low,1,1,0,0,True,True,True,0.0
1,6,car,7,0,10,0.8071057711328778,0.3745018243789673,45452.55071229075,52.08894748320803,0.1928942288671221,0.5875001273044506,0.8571428571428571,0.4529189903781339,0.1428571428571428,0.4289533302722041,0.6063093426187823,38,low,1,7,1,4,True,False,True,0.14285714285714285
1,45,car,7,17,23,0.4663906480584825,0.3543886244297027,5178.61513074139,24.081712443475364,0.5336093519415174,0.9547970559049734,0.2857142857142857,0.1553516164297245,0.1428571428571428,0.4274853675595195,0.5732088206604623,39,low,0,7,0,0,False,False,False,0.0
1,585,car,3,181,183,0.3163904945055643,0.2876496315002441,1889.44807047785,2.6619993545453497,0.6836095054944357,0.98479414810478,0.0,0.0175119120004926,0.3333333333333333,0.4222391839946881,0.4352405749189608,40,low,0,3,3,0,False,True,True,1.0
1,732,car,1,226,226,0.6959338188171387,0.6959338188171387,3880.849233713001,0.0,0.3040661811828613,0.9666326369361804,0.0,0.0,1.0,0.4193430726829514,0.4193430726829514,41,low,0,1,1,0,False,True,True,1.0
1,721,car,11,226,236,0.8361586792902513,0.46997931599617,9109.001688809449,16.102353164736847,0.1638413207097487,0.918952063600508,1.0,0.1062678452274937,0.0909090909090909,0.4149540678407758,0.5484002710524263,44,low,0,11,11,0,False,False,False,1.0
1,1079,car,3,321,323,0.4001002808411916,0.3465493321418762,844.76086027765,7.038687323549011,0.5998997191588084,0.9943216600827892,0.0,0.0577683822964994,0.3333333333333333,0.4132813573803848,0.4289637991817197,45,low,0,3,3,0,False,True,True,1.0
1,1287,car,3,386,388,0.3836661477883656,0.3083211183547973,681.2376416244855,4.25374384389209,0.6163338522116343,0.9958129862990852,0.0,0.0266829012545179,0.3333333333333333,0.4099167856263552,0.4290584588037206,47,low,0,3,3,0,False,True,True,1.0
1,757,car,16,230,248,0.6471969280391932,0.3484586477279663,8311.987089984816,32.5261342478281,0.3528030719608068,0.9262208097503672,0.25,0.3414793844092588,0.0625,0.4056897760425899,0.5188986469786492,48,low,0,16,0,3,False,False,True,0.0
1,1173,car,3,351,353,0.4481628040472666,0.3789352774620056,1599.410880363702,8.826136182548046,0.5518371959527334,0.9874392774563218,0.0,0.066973028564882,0.3333333333333333,0.4021904116206682,0.4189095983657795,50,low,1,3,1,0,True,True,True,0.3333333333333333
1,7,car,3,0,2,0.4149235884348551,0.322836309671402,532.8814809353398,3.665106879221068,0.5850764115651449,0.9971659894603916,0.0,0.0234824014791762,0.3333333333333333,0.4015729011531586,0.4184837739756692,51,low,0,3,0,0,False,True,True,0.0
1,884,car,9,266,277,0.5375939673847623,0.2898313403129577,4169.265053712866,22.23877965069196,0.4624060326152377,0.9640022944251722,0.1111111111111111,0.2351200165716594,0.1111111111111111,0.4005153045150921,0.6070630815143991,52,low,0,9,9,3,False,False,True,1.0
1,102,car,5,30,37,0.3474203705787658,0.3105136454105377,697.322600120306,3.837747442205065,0.6525796294212342,0.995666292022331,0.0,0.0287204479375964,0.2,0.3994582777441738,0.4112961502058826,53,low,0,5,2,3,False,False,True,0.4
1,591,car,40,186,225,0.5358497351408005,0.3368790745735168,2313.779566469656,51.06078106316708,0.4641502648591995,0.980924259231599,0.0,0.3255205482945411,0.025,0.3973525551347549,0.5061173374085791,54,low,0,40,20,0,False,False,False,0.5
1,9,car,9,0,27,0.5545946988794539,0.2622166574001312,5049.973333207063,23.35384123966048,0.4454053011205461,0.9559702647419476,0.2222222222222222,0.1738981050697154,0.1,0.3943532378292883,0.517153864374271,56,low,0,9,9,19,False,False,True,1.0
1,1335,car,2,407,408,0.6016272008419037,0.5328497886657715,2800.090180843837,11.500519479890285,0.3983727991580963,0.976489122897734,0.0,0.0872157219358373,0.5,0.3916949548530302,0.3960572403887407,57,low,0,2,2,0,False,True,True,1.0
1,339,car,9,100,108,0.7531845768292745,0.584743320941925,9276.376140026588,41.352409858082446,0.2468154231707255,0.9174256142736532,0.1111111111111111,0.4511562691177659,0.1111111111111111,0.3913113792601868,0.5387332033385055,58,low,1,9,7,0,True,False,False,0.7777777777777778
1,1299,car,7,390,403,0.3547817042895725,0.2562345862388611,1180.9597221169893,1.9720814009540115,0.6452182957104274,0.9912555378484093,0.0,0.0137477006485766,0.1428571428571428,0.3844211780880043,0.4073507585156917,61,low,0,7,7,7,False,False,True,1.0
1,232,car,12,75,86,0.6423060745000839,0.3062388002872467,18095.050674738963,45.39046270697844,0.3576939254999161,0.8369996011672654,0.1666666666666666,0.3556517625444908,0.0833333333333333,0.3832363422445548,0.4639155924205874,62,low,0,12,0,0,False,False,False,0.0
1,252,car,12,80,106,0.6358417173226675,0.3182418048381805,10311.255931251371,41.7611485823512,0.3641582826773326,0.907987545624565,0.1666666666666666,0.2843817099355736,0.0833333333333333,0.3812325072781395,0.4952283470258465,63,low,1,12,6,15,True,False,True,0.5
1,1221,car,7,365,371,0.3799743396895271,0.310892105102539,768.3558035499548,3.698449553501303,0.6200256603104728,0.9950184716126388,0.0,0.0210744231587063,0.1428571428571428,0.3807072866183939,0.4067847792658381,64,low,0,7,7,0,False,False,False,1.0
1,1134,car,5,338,342,0.4175269067287445,0.3125713169574737,1003.7505708958956,2.873687263044731,0.5824730932712555,0.9928716793062417,0.0,0.0243180716187346,0.2,0.3802721270837458,0.4114088112281038,65,low,0,5,1,0,False,False,False,0.2
1,171,car,5,50,54,0.4294792830944061,0.3218533098697662,967.029259541258,2.544596116745681,0.5705207169055939,0.9932065764222048,0.0,0.0244632407859783,0.2,0.377387304707334,0.4078588650804909,66,low,1,5,0,0,True,False,False,0.0
1,1,car,5,0,4,0.8517598986625672,0.8106634020805359,61189.92652912289,40.38675952720087,0.1482401013374328,0.4439757928114812,1.0,0.2850698559470666,0.2,0.3771226478834211,0.5175442844376545,67,low,0,5,0,0,False,False,False,0.0
1,628,car,34,210,243,0.8327515177866992,0.4788001775741577,15912.941704039244,56.63733013832898,0.1672484822133008,0.8569003610814973,0.2352941176470588,0.4894705634638192,0.0294117647058823,0.3752657159885206,0.5173265262205315,68,low,0,34,8,0,False,False,False,0.23529411764705882
1,897,car,18,269,286,0.7687007006671693,0.4414007365703583,11847.09151671669,54.77840312585445,0.2312992993328306,0.8939807770971994,0.2777777777777778,0.3530169307803103,0.0555555555555555,0.3748752129477251,0.5572666071823935,69,low,1,18,14,0,True,False,False,0.7777777777777778
1,1208,car,33,363,395,0.7518673214045438,0.3881610035896301,10620.325873371094,44.12039309085049,0.2481326785954562,0.9051688382192892,0.1212121212121212,0.4357376943947587,0.0303030303030303,0.3747286336186842,0.4952214337628784,70,low,0,33,0,0,False,False,False,0.0
1,1125,car,7,333,343,0.4450531601905823,0.2878456711769104,977.1031126873568,9.468349472342853,0.5549468398094177,0.9931147032226698,0.0,0.0771711541116483,0.111111111111111,0.3733191057914671,0.4044562218508078,71,low,0,7,4,4,False,False,True,0.5714285714285714
1,1041,car,5,313,319,0.5023054838180542,0.422213464975357,760.0742716316137,8.236808400516408,0.4976945161819458,0.9950939989032744,0.0,0.0754459220596237,0.2,0.3723039093410473,0.3943599967963122,73,low,0,5,5,2,False,False,True,1.0
1,331,car,13,98,112,0.6843717694282532,0.504930317401886,10487.003847382675,39.583224796082526,0.3156282305717468,0.9063847305812658,0.1538461538461538,0.3058429435340125,0.0769230769230769,0.3712601242580776,0.4636398614724756,74,low,0,13,4,2,False,False,True,0.3076923076923077
1,942,car,7,285,294,0.4586760316576276,0.3205183446407318,508.5873427175512,9.260766003887046,0.5413239683423724,0.997387551178201,0.0,0.0599239500468279,0.1428571428571428,0.3712180612615117,0.4067234961003849,75,low,0,7,7,3,False,False,True,1.0
1,929,car,6,281,327,0.4567473779122035,0.3006933629512787,510.2504414337059,9.143089916446671,0.5432526220877966,0.9973723837742318,0.0,0.0347347549067622,0.1666666666666666,0.368971321003486,0.4033120203607153,76,low,1,6,4,41,True,False,True,0.6666666666666666
1,215,car,10,69,78,0.5763482123613357,0.4685280621051788,4041.5754937522106,25.97364201225018,0.4236517876386642,0.9651668188877228,0.0,0.2190450748762917,0.1,0.3687075794062835,0.4111069914934401,77,low,0,10,10,0,False,False,False,1.0
1,536,car,21,161,182,0.7621580007530394,0.4458805620670318,7502.0296613065775,31.67969412067985,0.2378419992469606,0.9336075940701738,0.5238095238095238,0.1425284193410044,0.0476190476190476,0.3675284091753117,0.4455289057847121,78,low,0,21,10,1,False,False,True,0.47619047619047616
1,101,car,12,30,44,0.4221706961592038,0.3140450119972229,795.6049291783711,5.836644273142431,0.5778293038407961,0.9947699605097168,0.0,0.0449499304333923,0.0833333333333333,0.3671488006704905,0.386968123197103,79,low,0,12,12,3,False,False,True,1.0
1,217,car,9,70,78,0.8855653471416898,0.8074551820755005,20928.70199059152,45.66765546556908,0.1144346528583102,0.8111567971301478,0.3333333333333333,0.4170425764247809,0.1111111111111111,0.361767333413469,0.4207137319087407,80,low,0,9,0,0,False,False,False,0.0
1,1189,car,19,358,380,0.4314298268995787,0.3215336203575134,1092.9261925346952,5.116581093306433,0.5685701731004213,0.9920584006568866,0.0,0.0462378756168839,0.0526315789473684,0.3600084291528089,0.3943038330783938,81,low,0,19,19,4,False,False,True,1.0
1,206,car,12,66,77,0.7417707964777946,0.4391463100910187,19382.440856033976,38.607321092807744,0.2582292035222053,0.8252586463121666,0.25,0.3208697540402774,0.0833333333333333,0.359826468653054,0.4756558056259831,82,low,1,12,0,0,True,False,False,0.0
1,921,car,4,278,286,0.5194854065775871,0.4007200300693512,1318.946343092946,2.4726212673816206,0.4805145934224129,0.9899971045381156,0.0,0.016399532609754,0.25,0.3597279524156649,0.3852885591251404,83,low,0,4,2,5,False,False,True,0.5
1,1030,car,7,309,315,0.5106813311576843,0.3749141991138458,2331.8509994193114,10.9175248413255,0.4893186688423157,0.9807594483750988,0.0,0.0769448615679401,0.1428571428571428,0.3591463437061551,0.3905890233644649,84,low,2,7,5,0,True,False,False,0.7142857142857143
1,1018,car,7,306,323,0.4991757784570966,0.290841281414032,688.8847882034524,8.471844890124958,0.5008242215429034,0.9957432445812608,0.0,0.0512930879200714,0.1428571428571428,0.3586065477105672,0.3999716432435315,85,low,0,7,7,11,False,False,True,1.0
1,148,car,20,44,67,0.6952765494585037,0.4314727187156677,9229.4764493484,43.0037992923769,0.3047234505414963,0.9178533378643492,0.15,0.2753121451170939,0.05,0.3585795664875174,0.4667905687440253,86,low,2,20,1,4,True,False,True,0.05
